id_these,id_hackaton,Places
ENCPOS_1869_04,h2146,Orléanais
ENCPOS_1869_04,h2146,Moyen Âge
ENCPOS_1869_04,h2146,Renaissance
ENCPOS_1869_05,h2560,abbaye de Baume-les-Moines
ENCPOS_1869_06,h3166,France
ENCPOS_1869_07,h3007,Moyen
ENCPOS_1872_05,h2063,Suisses
ENCPOS_1872_06,h2287,Saintonge
ENCPOS_1872_07,h2631,Rhône
ENCPOS_1872_09,h2893,comté d'Auvergne
ENCPOS_1873_01,h0101,Bibliothèque nationale
ENCPOS_1873_02,h0321,Lyon
ENCPOS_1873_03,h0569,Metz
ENCPOS_1873_03,h0569,XIVe
ENCPOS_1873_04,h0952,Talmond
ENCPOS_1873_05,h0984,Bourgogne
ENCPOS_1873_07,h1787,Limoges
ENCPOS_1873_10,h2396,Poitiers
ENCPOS_1873_12,h2670,Aurillac du XIIIe
ENCPOS_1873_13,h2678,Moyen
ENCPOS_1873_14,h2895,Diana
ENCPOS_1873_14,h2895,Montbrison
ENCPOS_1874_01,h0664,France
ENCPOS_1874_01,h0664,IXe
ENCPOS_1874_02,h1471,la Seine
ENCPOS_1874_02,h1471,XIVe
ENCPOS_1874_02,h1471,Paris
ENCPOS_1874_04,h2388,Saint-Lo
ENCPOS_1875_01,h0380,Moyen
ENCPOS_1875_03,h1909,Méditerranée
ENCPOS_1875_03,h1909,XIVe
ENCPOS_1875_05,h2519,Vivarais
ENCPOS_1875_05,h2519,de France
ENCPOS_1875_06,h2592,Ponthieu
ENCPOS_1875_06,h2592,XIVe siècles
ENCPOS_1875_07,h2654,abbaye de Prémontré
ENCPOS_1875_07,h2654,XIIe
ENCPOS_1875_09,h3012,Bourgogne
ENCPOS_1876_01,h0182,Leicester
ENCPOS_1876_03,h0858,Aymeri de Narbonne
ENCPOS_1876_04,h1155,Notre-Dame de Paris
ENCPOS_1876_04,h1155,Moyen
ENCPOS_1876_05,h1509,Jersey
ENCPOS_1876_05,h1509,Guernesey
ENCPOS_1876_05,h1509,Auregny
ENCPOS_1876_05,h1509,Serk
ENCPOS_1876_06,h2067,Amblainville
ENCPOS_1876_06,h2067,Vexin français
ENCPOS_1876_06,h2067,XVe siècle
ENCPOS_1876_07,h2114,France
ENCPOS_1876_07,h2114,Moyen
ENCPOS_1876_08,h2591,Roussillon
ENCPOS_1876_09,h2976,Lyon
ENCPOS_1876_09,h2976,Lyon
ENCPOS_1877_01,h0032,XVe siècle
ENCPOS_1877_02,h0323,Picquigny
ENCPOS_1877_02,h0323,Amiens
ENCPOS_1877_02,h0323,XIVe
ENCPOS_1877_05,h0987,France
ENCPOS_1878_01,h0084,Moyen
ENCPOS_1878_02,h0362,Vitry-le-François
ENCPOS_1878_03,h0831,Tours
ENCPOS_1878_06,h1158,Senlis
ENCPOS_1878_06,h1158,Moyen
ENCPOS_1878_07,h1223,Lyon
