,Places,latitude,longitude
184,Chine,35.000074,104.999927
185,Choiseul,48.0587993,5.5668464
186,Chypre,34.9823018,33.1451285
187,Châlon-Sur-Saône,46.7888997,4.8529605
188,Châlons,45.4458331,4.9310763
189,Châlons-Sur-Marne,48.9566218,4.3628851
190,Châteaudun,48.0702298,1.3284948
191,Châteauroux,46.8203785,1.6770956
192,Châtelains,46.5542261,3.3341107
193,Châtillon,46.6591772,5.7302769
195,Clermont,49.3780921,2.4141907
196,Clermont-En-Beauvaisis,49.3780921,2.4141907
197,Cluny,46.4339138,4.6575708
198,Collioure,42.52505,3.0831554
199,Colmar,48.0777517,7.3579641
200,Combraille,46.2489786,2.4199717
202,Commercy,48.763203,5.5914753
203,Comminges,43.4537746,1.3927116
204,Comtat-Venaissin,44.0516048,5.0540101
205,Conches,43.5450088,-0.1695404
207,Conflans,45.6715876,6.3968848
208,Congo,-0.7264327,15.6419155
209,Conon,47.4899419,1.5243199
210,Constantinople,41.0096334,28.9651646
211,Copier,23.03095,120.2135
212,Corbeil,48.5778324,4.4270627
213,Corbie,49.9082911,2.5110728
214,Cormeilles-En-Vexin,49.11455945,2.0203613692673805
215,Cornouaille,48.518568,-2.791071
217,Corrèze,45.342904700000005,1.8176424406120555
218,Corse,42.188089649999995,9.068413771427695
219,Corée,-35.2805348,148.9053979
220,Cotentin,49.2416784,-1.3733180520025838
221,Coucy,49.5042797,4.4570742
222,Couserans,43.2666769,1.7637211
223,Coutances,49.047792,-1.4454857
224,Coëtivy,-7.1450058,56.271161
225,Creuse,46.0593485,2.04890101251091
226,Crimée,45.28350435,34.20081877526554
227,Croatie,45.5643442,17.0118954
228,Crète,35.3084749,24.463320724202934
230,Côte-D'Or,47.465503350000006,4.74812234575117
232,Dalmatie,36.4970451,2.8610493
233,Dauphiné,47.4751237,-0.1854462
236,Delle,47.5075682,6.9977521
237,Deûle,50.5723181,2.9712412
239,Dieppe,49.9246182,1.0791444
240,Digne,44.0918144,6.2351431
241,Dijon,47.3215806,5.0414701
243,Dol,48.5498295,-1.754257
244,Dombes,46.03146665,5.030798745329621
246,Donzenac,45.2278169,1.5230255
247,Douai,50.3675677,3.0804641
248,Doubs,47.06699155,6.235622772820445
249,Dourgne,43.4855,2.13617
251,Dumoulin,18.2272059,-73.2126181
252,Dunkerque,51.0347708,2.3772525
260,Egypte,26.2540493,29.2675469
263,Entrecasteaux,43.5143726,6.2432365
264,Escaut,50.2257369,3.2898685
265,Escazeaux,43.8361111,1.0233333
266,Espagne,39.3260685,-4.8379791
268,Etampes,48.4344621,2.1614464
270,Euchaire,48.7675083,6.1292605
271,Eure,49.0756358,0.9652025944774796
272,Eure-Et-Loir,48.4474102,1.3998820185020766
273,Europe,51.0,10.0
274,Evreux,49.0268903,1.1510164
276,Eysses,44.4175003,0.717171
277,Fachoda,49.1909268,3.5276069
278,Faucigny,46.1183,6.3594
279,Felletin,45.8843751,2.1735208
280,Ferrette,47.4944546,7.3141424
282,Finistère,48.24511525,-4.044090245241742
283,Flandre,51.096246199999996,4.178629103169916
284,Fleury,50.42199,2.25386
285,Florac,44.3238185,3.5940267
286,Floride,27.7567667,-81.4639835
287,Fontainebleau,48.4049375,2.7015872
288,Fontenay,49.5601439,0.1837398
289,Forcalquier,43.9585575,5.780446
290,Forez,45.3536025,4.7564881
293,Forêts,47.4756495,4.837159938825424
294,Foulque,45.9160874,-75.25876586089302
295,Franc-Alleu,49.1897269,4.0962831
296,France,46.603354,1.8883335
297,Franche,46.603354,1.8883335
302,Garches,48.8437486,2.1853699
304,Gascogne,47.926336,0.4801412
305,Gaule,50.9987277,14.8797965
307,Gellone,43.73387995,3.5494716189507143
308,Genève,46.2017559,6.1466014
309,Gervais,45.1084663,-122.8978937
310,Gironde,44.883745950000005,-0.6051264440438711
311,Gisors,49.2789504,1.777826
313,Gourdon,46.6414367,4.4461818
314,Grand,38.9953683,21.9877132
315,Grande-Bretagne,54.31536155,-1.9180234948012402
316,Grandmont,47.357221,0.7019284
317,Grasse,43.6589011,6.9239103
318,Graville,49.5018963,0.1623279
319,Grenoble,45.1875602,5.7357819
320,Grignon,47.5587744,4.4099524
321,Grèce,38.9953683,21.9877132
322,Guadeloupe,16.230510250000002,-61.68712602138846
323,Guernesey,49.4566233,-2.5822348
324,Guinée,10.7226226,-10.7083587
325,Guiron,12.9016418,123.6441807
326,Guise,49.8982325,3.6262542
327,Guyenne,48.7779676,-78.4701517
328,Gévaudan,43.957775,6.4339583
329,Gênes,44.40726,8.9338624
331,Hambourg,53.550341,10.000654
332,Harelle,48.128126,-1.9467132
